Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"False God","Taylor Swift","Lover","Favorite Songs","Favorite","USUG11901483","5hQSXkFgbxjZo9uCwd11so"
"Waiting For You - Bonus Track","Alex G","DSU","Favorite Songs","Favorite","GBJET1400035","6eIz8umR7Bi9r1lzYzGrb5"
"The Only Exception","Paramore","Brand New Eyes","Favorite Songs","Favorite","USAT20902323","7JIuqL4ZqkpfGKQhYlrirs"
"I Must Apologise","PinkPantheress","to hell with it (Remixes)","Favorite Songs","Favorite","GBAYE2101300","06US4OmfC9BKiqd0mEEvz2"
"Catacombs","Fog Lake","Tragedy Reel","Favorite Songs","Favorite","QZES62246606","0BmIi2KQJGJxx4nsiZilfu"
"Space Invades My Mind","Maja Francis","Come Companion","Favorite Songs","Favorite","SEUM71500803","3QZ9AvlY6xdQWI7uLYUOwF"
"Be Like a Woman","Chris Rainbow","White Trails (Expanded)","Favorite Songs","Favorite","GBAYE1704802","5Ctzx0mMiUPAu9JqbAOY9n"
"Can't Take My Eyes off You - 2007 Remaster","Frankie Valli","Working My Way Back to You","Favorite Songs","Favorite","USRH10720926","1pmsJiyJIdJMer27uDfwLc"
"Cyklar ni så springer jag","Mares","Cyklar ni så springer jag","Favorite Songs","Favorite","SEWGI1605601","7ihOAPfUkJPrIAiQEv9GfW"
"Slowmotion","AP51","Slowmotion","Favorite Songs","Favorite","SE6TI2397706","6l2IXJQGDbJRTqrzdkjdZw"
"Alejandro","Lady Gaga","The Fame Monster (Deluxe Edition)","Favorite Songs","Favorite","USUM70905526","1HHeOs6zRdF8Ck58easiAY"
"Forget Her","Jeff Buckley","Grace","Favorite Songs","Favorite","USSM10407311","6UuVONmxXwTKN1ISepuAoQ"
"City Lights (Brent Faiyaz)","Axron","LXTENIGHTS","Favorite Songs","Favorite","QZ93L2053339","2GVOBKJbyodCVWMHYSgRx0"
"Rein Me In (with Olivia Dean)","Sam Fender","People Watching (Deluxe Edition)","Favorite Songs","Favorite","GBUM72503308","0MUXBhPUDF8or0kfQ0EHwV"
"Girl of the Year","Beach House","7","Favorite Songs","Favorite","USSUB1824010","0wOxLaJT2I1VKDxQtvXX52"
"Houstatlantavegas","Drake","So Far Gone","Favorite Songs","Favorite","USCM51900170","7i2X27hQnVtr5emUBXMnnz"
"Good 4 U","Luuk Van Dijk","Good 4 U","Favorite Songs","Favorite","QZSYP2481633","09bwwB0fpgLQbWQmQ5Q5sm"
"damned","Miguel","Wildheart (Deluxe Version)","Favorite Songs","Favorite","USRC11501295","2ZCe5vjgNDAmoWe73C46nc"
"Nu stannar vi på marken","Veronica Maggio","Nu stannar vi på marken","Favorite Songs","Favorite","SEUM72000372","6AmXtz8CoUpH0AXvRSucLx"
"I'm On One","DJ Khaled","We The Best Forever","Favorite Songs","Favorite","USCM51100126","608a1wIsSd5KzMEqm1O7w3"
"Fri","Mares","Rock'n'Roll Will Never Die","Favorite Songs","Favorite","SEWGI1801502","2C7ZrtqafoU0jTYpoT1pap"
"Touch","Little Mix","Summer Love Songs","Favorite Songs","Favorite","GBHMU1600074","02MfyEkOdcPYaFHbbmfp98"
"Kool Aid","Royel Otis","Sofa Kings","Favorite Songs","Favorite","GBKPL2214554","2HKDVLcHYBD8asWWttLU3W"
"Come Back To Me","Urban Cone","Polaroid Memories","Favorite Songs","Favorite","SEUM71401326","4Qyx69DzTD3PEpZMElAy6f"
"Recall - Slowed","gabriawll","Recall (Alternate Versions)","Favorite Songs","Favorite","GXHT42600332","0SwSDBFnEwvm0n9BN3QjLO"
"Be A Way","Something More Than Me","Somewhere In Between","Favorite Songs","Favorite","ushm81126118","4r8o89LzYjRtijwQ9wx5lR"
"Start","The Neighbourhood","(((((ultraSOUND)))))+","Favorite Songs","Favorite","USWB12504422","4NoQsZ4o0IGZTZt4QFFlZa"
"Good Lovin'","Benjamin Ingrosso","Good Lovin'","Favorite Songs","Favorite","SEWEE1601105","15Dc6UCJ8LlCb7wKaJG1hl"
"Kremen","Kudos","Kremen","Favorite Songs","Favorite","NO2DY2200398","45boZB5HThhfWEEeSXZkcS"
"Private","The Neighbourhood","Private","Favorite Songs","Favorite","USWB12503647","1735xgk2J8CHCGY2LS1HM6"
"Lovebomb","The Neighbourhood","Spokojne brzmienia","Favorite Songs","Favorite","USWB12503646","1lo435g4z3cTM7YNDiOA5i"
